자치구,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
중구,77.157,78.045,78.831,80.073,81.622,84.041,87.025,90.945,95.103,98.741,100.493
서구,76.249,77.136,78.287,79.159,80.881,83.033,85.82,90.746,95.423,98.494,101.192
동구,77.385,78.266,78.772,79.903,81.647,83.666,86.129,90.749,95.608,98.567,101.54
영도구,79.158,80.129,81.269,82.285,83.781,85.702,87.772,92.059,95.46,98.451,101.186
부산진구,72.232,73.372,74.388,75.748,77.734,80.536,84.145,89.114,93.93,97.367,102.471
동래구,69.118,70.138,71.521,72.683,74.49,77.134,80.711,86.306,92.135,96.865,101.74
남구,70.949,71.764,73.127,74.572,76.765,79.425,83.293,88.998,94.396,98.338,102.825
북구,77.624,78.709,79.786,80.802,82.299,84.231,87.015,91.174,95.415,98.642,100.955
해운대구,64.756,65.731,67.128,68.119,69.724,72.389,77.756,84.796,91.536,96.663,102.265
사하구,79.672,80.944,82.092,82.795,84.208,86.028,88.339,92.233,95.687,98.282,100.876
금정구,72.407,73.616,74.902,76.228,77.837,79.948,83.057,88.641,93.955,97.729,101.124
강서구,72.655,74.246,76.075,77.492,79.152,81.98,84.928,90.714,95.377,98.152,100.857
연제구,72.1,73.075,74.183,75.142,76.6,78.817,82.467,88.159,93.531,97.329,101.807
수영구,69.885,70.913,72.109,73.31,75.152,77.689,81.226,87.526,93.249,97.151,102.049
사상구,77.279,78.614,79.649,80.411,82.044,83.834,86.399,90.955,95.162,98.206,100.946
기장군,71.763,73.17,74.854,76.488,78.676,81.026,84.134,90.026,96.19,99.038,101.298
